;NVC1.3_LOCATION;NVC1.3_BYEAR;NVC1.3_EYEAR;NVC1.3_CAMPAIGN;NVC1.3_SUCCESS;NVC1.3_LIMITED;NVC1.3_FAILURE;NVC1.3_ONGOING;NVC1.3_VIOL;NVC1.3_NONVIOL;NVC1.3_FSELFDET;NVC1.3_REGCHANGE;NVC1.3_SECESSION;NVC1.3_CAMPAIGN.1;NVC1.3_cow
203;Guinea-Bissau;1998;1999;Military Junta for the Consolidation of Democracy, Peace and Justice;0;0;1;0;1;0;0;1;0;1;404
204;Guyana;1990;1992;anti-Burnham/Hoyte campaign;1;0;0;0;0;1;0;1;0;1;110
205;Haiti;1946;1946;pro-democracy movement;1;0;0;0;0;1;0;0;0;1;41
206;Haiti;1956;1956;anti-Maglore movement;1;0;0;0;0;1;0;1;0;1;41
207;Haiti;1918;1920;Caco Revolt;0;0;1;0;1;0;1;0;0;1;41
208;Haiti;2008;2008;Anti-MINUSTAH Campaign;0;0;1;0;0;1;1;0;0;1;41
209;Haiti;1985;1986;anti-Duvalier campaign;1;0;0;0;0;1;0;1;0;1;41
210;Haiti;1987;1987;Anti-National Governing Council (CNG);0;0;1;0;0;1;0;1;0;1;41
211;Haiti;2003;2004;Anti-Aristide Campaign 2004;1;0;0;0;0;1;0;1;0;1;41
212;Haiti;2005;2010;Pro-Aristide Campaign;0;0;1;0;0;1;0;1;0;1;41
213;Haiti;2014;2016;Anti-Martelly campaign;1;0;0;0;0;1;0;1;0;1;41
214;Haiti;2018;2019;Anti-Jovenel Moise Protests;0;0;1;1;0;1;0;1;0;1;41
215;Honduras;1924;1924;Conservative movement;0;0;1;0;1;0;0;1;0;1;91
216;Honduras;1944;1944;Honduran pro-democracy movement;0;0;1;0;0;1;0;1;0;1;91
217;Honduras;2009;2009;Frente Nacional?de Resistencia Popular (FNRP);0;0;1;0;0;1;0;1;0;1;91
218;Honduras;2015;2015;Honduran indignados;0;0;1;0;0;1;0;1;0;1;91
219;Honduras;2017;2019;Anti-Hernandez;0;0;1;1;0;1;0;1;0;1;91
220;Honduras;2019;2019;Hern?ndez Must Go campaign;0;0;1;0;0;1;0;1;0;1;91
221;Hungary;1919;1920;anti-communist movement (Whites);1;0;0;0;1;0;0;1;0;1;310
222;Hungary;1956;1956;Hungarian anti-communist;0;0;1;0;0;1;0;1;0;1;310
223;Hungary;1956;1956;Hungarian anti-Soviet;0;0;1;0;1;0;1;0;0;1;310
224;Hungary;1989;1989;pro-dem movement;1;0;0;0;0;1;0;1;0;1;310
225;Hungary;2017;2019;Anti-Orban;0;0;1;1;0;1;0;1;0;1;310
226;Iceland;2008;2009;Cutlery Revolution (Kitchenware/Kitchen Implement Revolution);1;0;0;0;0;1;0;1;0;1;395
227;Iceland;2016;2016;Panama Papers Anti-Government Protest;0;1;0;0;0;1;0;1;0;1;395
228;India;1921;1922;Moplah Rebellion;0;0;1;0;1;0;0;1;0;1;750
229;India;1946;1946;Punnapra-Vayalar Uprising;0;0;1;0;1;0;0;1;0;1;750
230;India;1948;1952;Telangana People's Front;0;0;1;0;1;0;0;1;0;1;750
231;India;1967;1971;Naxalite insurgency;0;0;1;1;1;0;0;1;0;1;750
232;India;1970;1971;Naxalite rebellion;0;0;1;0;1;0;0;1;0;1;750
233;India;1975;1975;Anti-Indira Campaign (Phase 1);0;0;1;0;0;1;0;1;0;1;750
234;India;1977;1977;Anti-Indira Campaign (Phase 3);1;0;0;0;0;1;0;1;0;1;750
235;India;1919;1947;Indian independence movement;0;1;0;0;0;1;1;0;0;1;750
236;India;1948;1948;Hyderabad activists;0;0;1;0;1;0;0;0;1;1;750
237;India;1956;2019;Naga Rebellion;0;0;1;0;1;0;0;0;1;1;750
238;India;1966;1986;Mizo Revolt;0;1;0;0;1;0;0;0;1;1;750
239;India;1979;2019;Manipur;0;0;1;1;1;0;0;0;1;1;750
240;India;1984;1994;Sikh insurgency;0;0;1;0;1;0;0;0;1;1;750
241;India;1985;2019;Assam independence;0;0;1;1;1;0;0;0;1;1;750
242;India;1986;1986;Gurkha Independence Campaign;0;0;1;0;0;1;0;0;1;1;750
243;India;1986;1987;1986-7 Khalistan Campaign;0;0;1;0;0;1;0;0;1;1;750
244;India;1986;2019;Bodoland Independence Campaign (secesesion);0;0;1;1;1;0;0;0;1;1;750
245;India;1989;2019;Tripura;0;0;1;1;1;0;0;0;1;1;750
246;India;1990;1990;1990 Kashmir Plebiscite Protests;0;0;1;0;0;1;0;0;1;1;750
247;India;1990;2005;Kashmiri Muslim separatists;0;0;1;0;1;0;0;0;1;1;750
248;India;2015;2019;Western Southeast Asia Front;0;0;1;1;1;0;0;0;1;1;750
249;India;2016;2019;Kashmir anti-India protests;0;0;1;1;0;1;1;0;0;1;750
250;Indonesia;1953;1953;Darul Islam;0;0;1;0;1;0;0;1;0;1;850
251;Indonesia;1956;1960;leftists;0;0;1;0;1;0;0;1;0;1;850
252;Indonesia;1945;1949;Indonesian Revolt;1;0;0;0;1;0;1;0;0;1;850
253;Indonesia;1950;1950;Moluccans;0;0;1;0;1;0;0;0;1;1;850
254;Indonesia;1975;2005;GAM;0;1;0;0;1;0;0;0;1;1;850
